127.0.0.1 - - [18/Jun/2021:12:28:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:24 +0900] "GET /bookduck/ HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:25 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:47 +0900] "GET /bookduck/ HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:47 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:48 +0900] "GET /bookduck/ HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:48 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:49 +0900] "GET /bookduck/ HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:49 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:49 +0900] "GET /bookduck/ HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:49 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:50 +0900] "GET /bookduck/ HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:50 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:50 +0900] "GET /bookduck/ HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:50 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:50 +0900] "GET /bookduck/ HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:50 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:50 +0900] "GET /bookduck/ HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:50 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:50 +0900] "GET /bookduck/ HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:50 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:51 +0900] "GET /bookduck/ HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:51 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:51 +0900] "GET /bookduck/ HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:51 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:51 +0900] "GET /bookduck/ HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:51 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:51 +0900] "GET /bookduck/ HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:51 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:51 +0900] "GET /bookduck/ HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:51 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:51 +0900] "GET /bookduck/ HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:51 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:52 +0900] "GET /bookduck/ HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:52 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:52 +0900] "GET /bookduck/ HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:52 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:55 +0900] "GET /bookduck/ HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:56 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:56 +0900] "GET /bookduck/ HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [18/Jun/2021:12:28:56 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:13:47:50 +0900] "GET /bookduck/ HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [18/Jun/2021:13:47:50 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:13:47:51 +0900] "GET /bookduck/ HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [18/Jun/2021:13:47:51 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:13:47:51 +0900] "GET /bookduck/ HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [18/Jun/2021:13:47:51 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:13:47:51 +0900] "GET /bookduck/ HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [18/Jun/2021:13:47:51 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:13:47:51 +0900] "GET /bookduck/ HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [18/Jun/2021:13:47:51 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:13:47:52 +0900] "GET /bookduck/ HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [18/Jun/2021:13:47:52 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:13:47:52 +0900] "GET /bookduck/ HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [18/Jun/2021:13:47:52 +0900] "GET /selectList.do HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Jun/2021:13:47:52 +0900] "GET /bookduck/ HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [18/Jun/2021:13:47:52 +0900] "GET /selectList.do HTTP/1.1" 404 820
